Profiling of hundred theorems:

proof-shell-filter                                              206         0.5755520000  0.0027939417
proof-shell-filter-manage-output                                206         0.4828650000  0.0023440048
proof-shell-exec-loop                                           206         0.479615      0.0023282281
proof-done-advancing                                            204         0.3241909999  0.0015891715
proof-done-advancing-save                                       100         0.2885119999  0.0028851199
proof-make-goalsave                                             100         0.2780209999  0.0027802099
pg-add-proof-element                                            100         0.2667299999  0.0026672999
proof-next-element-id                                           100         0.2568640000  0.0025686400
proof-element-id                                                100         0.2559739999  0.0025597399
proof-shell-insert                                              206         0.1490790000  0.0007236844
scomint-send-input                                              206         0.0973649999  0.0004726456
scomint-send-string                                             206         0.0899980000  0.0004368834
pg-remove-specials                                              206         0.0822929999  0.0003994805
isar-preprocessing                                              206         0.0361179999  0.0001753300
proof-toolbar-next-enable-p                                     638         0.0286260000  4.486...e-05
isar-command-wrapping                                           206         0.0269059999  0.0001306116
proof-locked-region-full-p                                      639         0.0268030000  4.194...e-05
pg-set-span-helphighlights                                      304         0.0225119999  7.405...e-05
isar-positions-of                                               206         0.0202500000  9.830...e-05
proof-toolbar-use-enable-p                                      319         0.0138090000  4.328...e-05
proof-set-overlay-arrow                                         204         0.0115210000  5.647...e-05
proof-string-match                                              1526        0.0104410000  6.842...e-06
proof-shell-available-p                                         2233        0.0092940000  4.162...e-06
proof-done-advancing-other                                      104         0.007964      7.657...e-05
pg-last-output-displayform                                      304         0.0075990000  2.499...e-05
isar-string-wrapping                                            412         0.0063830000  1.549...e-05
proof-shell-strip-output-markup                                 304         0.0059760000  1.965...e-05
isar-strip-output-markup                                        305         0.0048359999  1.585...e-05
proof-replace-regexp-in-string                                  412         0.0047720000  1.158...e-05
isar-shell-adjust-line-width                                    206         0.00416       2.019...e-05
isar-global-save-command-p                                      100         0.0038479999  3.847...e-05
proof-shell-process-urgent-messages                             206         0.003735      1.813...e-05
proof-string-match-safe                                         204         0.0032319999  1.584...e-05
proof-toolbar-state-enable-p                                    319         0.0031699999  9.937...e-06
pg-processing-complete-hint                                     1           0.002853      0.002853
scomint-check-proc                                              2441        0.0028120000  1.151...e-06
proof-get-name-from-goal                                        100         0.0026769999  2.676...e-05
proof-toolbar-retract-enable-p                                  319         0.0025379999  7.956...e-06
proof-toolbar-undo-enable-p                                     319         0.0024359999  7.636...e-06
proof-toolbar-delete-enable-p                                   319         0.0023529999  7.376...e-06
isar-goal-command-p                                             204         0.0021389999  1.048...e-05
proof-toolbar-find-enable-p                                     319         0.0020489999  6.423...e-06
proof-toolbar-context-enable-p                                  319         0.0018939999  5.937...e-06
proof-toolbar-info-enable-p                                     319         0.0018169999  5.695...e-06
proof-toolbar-command-enable-p                                  319         0.0017689999  5.545...e-06
pg-add-element                                                  100         0.0016860000  1.686...e-05
proof-shell-classify-output                                     206         0.0016479999  7.999...e-06
proof-locked-region-empty-p                                     320         0.0014510000  4.534...e-06
pg-span-name                                                    304         0.0012320000  4.052...e-06
proof-process-buffer                                            1           0.001196      0.001196
pg-add-to-input-history                                         104         0.0011950000  1.149...e-05
proof-assert-until-point-interactive                            1           0.001159      0.001159
proof-assert-until-point                                        1           0.001155      0.001155
proof-unprocessed-begin                                         1126        0.0010770000  9.564...e-07
proof-shell-live-buffer                                         206         0.0010610000  5.150...e-06
proof-assert-semis                                              1           0.001013      0.001013
proof-splice-separator                                          206         0.0007109999  3.451...e-06
proof-extend-queue                                              1           0.000638      0.000638
proof-append-alist                                              1           0.00063       0.00063
proof-semis-to-vanillas                                         1           0.000347      0.000347
proof-next-element-count                                        100         0.0002829999  2.829...e-06
proof-shell-process-urgent-message                              1           0.00025       0.00025
proof-toolbar-goto-enable-p                                     319         0.0002259999  7.084...e-07
proof-toolbar-interrupt-enable-p                                319         0.0001709999  5.360...e-07
proof-debug                                                     100         0.0001189999  1.189...e-06
proof-segment-up-to-using-cache                                 1           9.6e-05       9.6e-05
proof-segment-cache-contents-for                                1           8.4e-05       8.4e-05
pg-response-display-with-face                                   2           7.5e-05       3.75e-05
proof-shell-message                                             1           7e-05         7e-05
pg-response-maybe-erase                                         2           5e-05         2.5e-05
pg-hint                                                         1           3.9e-05       3.9e-05
proof-re-search-backward                                        1           3e-05         3e-05
proof-shell-ready-prover                                        2           2.100...e-05  1.050...e-05
proof-shell-handle-delayed-output                               1           2.1e-05       2.1e-05
proof-activate-scripting                                        1           1.7e-05       1.7e-05
proof-maybe-follow-locked-end                                   1           1.6e-05       1.6e-05
proof-shell-start                                               2           1.5e-05       7.5e-06
pg-response-display                                             1           1.4e-05       1.4e-05
proof-grab-lock                                                 1           1.2e-05       1.2e-05
proof-script-next-command-advance                               1           7e-06         7e-06
proof-shell-strip-eager-annotations                             1           7e-06         7e-06
proof-shell-start-silent-item                                   1           6e-06         6e-06
proof-shell-action-list-item                                    2           4e-06         2e-06
proof-shell-stop-silent-item                                    1           4e-06         4e-06
proof-queue-or-locked-end                                       4           3e-06         7.5e-07
proof-shell-should-be-silent                                    1           2e-06         2e-06
proof-shell-set-silent                                          1           1e-06         1e-06
proof-shell-clear-silent                                        1           1e-06         1e-06
proof-pbp-focus-on-first-goal                                   1           1e-06         1e-06
proof-display-and-keep-buffer                                   1           1e-06         1e-06
proof-release-lock                                              1           1e-06         1e-06
pg-finish-tracing-display                                       1           1e-06         1e-06


Profiling AThousandTheorems (inc parse)

proof-shell-filter                                              2009        4.2185289999  0.0020998153
proof-shell-filter-manage-output                                2008        3.7156680000  0.0018504322
proof-process-buffer                                            1           3.681492      3.681492
proof-assert-until-point-interactive                            1           3.681391      3.681391
proof-assert-until-point                                        1           3.681388      3.681388
proof-shell-exec-loop                                           2008        3.6569860000  0.0018212081
proof-assert-semis                                              1           2.165613      2.165613
proof-activate-scripting                                        1           2.1626339999  2.1626339999
proof-shell-wait                                                3           2.157879      0.719293
proof-shell-insert                                              2008        1.8324589999  0.0009125791
proof-done-advancing                                            2004        1.7108090000  0.0008536971
proof-segment-up-to-using-cache                                 1           1.515725      1.515725
proof-segment-up-to                                             1           1.5153910000  1.5153910000
proof-segment-up-to-cmdstart                                    1           1.515388      1.515388
proof-looking-at-syntactic-context                              2012        1.2962439999  0.0006442564
isar-syntactic-context                                          2012        1.2880049999  0.0006401615
proof-looking-at-syntactic-context-default                      2012        1.283686      0.0006380149
proof-buffer-syntactic-context                                  2013        1.2504469999  0.0006211857
